"ElectID","Applicable_Spec","Standard","ActiveStatus","CreatedDate"
"13766","IEC-62353","ALTERNATIVE","True","11/15/2016 11:55:12 AM"
"13767","IEC-62353","ALTERNATIVE","True","11/15/2016 11:57:47 AM"
"13768","IEC-62353","ALTERNATIVE","True","11/15/2016 12:32:27 PM"
"13769","IEC-62353","ALTERNATIVE","True","11/15/2016 12:48:27 PM"
"13770","IEC-62353","ALTERNATIVE","True","11/15/2016 12:52:55 PM"
"13771","IEC-62353","ALTERNATIVE","True","11/15/2016 12:54:40 PM"
"13772","IEC-62353","ALTERNATIVE","True","11/15/2016 12:56:21 PM"
"13773","IEC-62353","ALTERNATIVE","True","11/15/2016 1:01:46 PM"
"13774","IEC-62353","ALTERNATIVE","True","11/15/2016 2:33:10 PM"
"13775","IEC-62353","ALTERNATIVE","True","11/15/2016 2:37:30 PM"
"13776","IEC-62353","ALTERNATIVE","True","11/15/2016 3:00:14 PM"
"13777","IEC-62353","ALTERNATIVE","True","11/15/2016 3:04:22 PM"
"13778","IEC-62353","ALTERNATIVE","True","11/15/2016 3:08:14 PM"
"13779","IEC-62353","ALTERNATIVE","True","11/15/2016 3:13:16 PM"
"13780","IEC-62353","ALTERNATIVE","True","11/15/2016 3:14:57 PM"
"13781","IEC-62353","ALTERNATIVE","True","11/16/2016 3:01:07 PM"
"13782","IEC-62353","ALTERNATIVE","True","11/16/2016 3:04:10 PM"
"13783","IEC-62353","ALTERNATIVE","True","11/16/2016 3:26:20 PM"
"13784","IEC-62353","ALTERNATIVE","True","11/16/2016 3:34:37 PM"
"13785","IEC-62353","ALTERNATIVE","True","11/16/2016 3:41:41 PM"
"13786","IEC-62353","ALTERNATIVE","True","11/16/2016 3:49:33 PM"
"13787","IEC-62353","ALTERNATIVE","True","11/16/2016 3:51:49 PM"
"13788","IEC-62353","ALTERNATIVE","True","11/16/2016 5:26:24 PM"
"13789","IEC-62353","ALTERNATIVE","True","11/16/2016 5:32:03 PM"
"13790","IEC-62353","ALTERNATIVE","True","11/16/2016 5:39:06 PM"
"13791","IEC-62353","ALTERNATIVE","True","11/16/2016 6:05:40 PM"
"13792","IEC-62353","ALTERNATIVE","True","11/17/2016 11:10:04 AM"
"13793","IEC-62353","ALTERNATIVE","True","11/17/2016 11:17:54 AM"
"13794","IEC-62353","ALTERNATIVE","True","11/17/2016 11:35:22 AM"
"13795","IEC-62353","ALTERNATIVE","True","11/17/2016 11:43:59 AM"
"13796","IEC-62353","ALTERNATIVE","True","11/17/2016 11:47:41 AM"
"13797","IEC-62353","ALTERNATIVE","True","11/17/2016 11:50:34 AM"
"13798","IEC-62353","ALTERNATIVE","True","11/17/2016 12:13:38 PM"
"13799","IEC-62353","ALTERNATIVE","True","11/17/2016 2:07:33 PM"
"13800","IEC-62353","ALTERNATIVE","True","11/17/2016 2:19:02 PM"
"13801","IEC-62353","ALTERNATIVE","True","11/17/2016 2:20:34 PM"
"13802","IEC-62353","ALTERNATIVE","True","11/17/2016 3:53:31 PM"
"13803","IEC-62353","ALTERNATIVE","True","11/17/2016 4:24:36 PM"
"13804","IEC-62353","ALTERNATIVE","True","11/17/2016 4:27:06 PM"
"13805","IEC-62353","ALTERNATIVE","True","11/17/2016 4:31:39 PM"
"13806","IEC-62353","ALTERNATIVE","True","11/18/2016 11:07:20 AM"
"13807","IEC-62353","ALTERNATIVE","True","11/18/2016 11:41:25 AM"
"13808","IEC-62353","ALTERNATIVE","True","11/21/2016 11:39:33 AM"
"13809","IEC-62353","ALTERNATIVE","True","11/21/2016 11:41:21 AM"
"13810","IEC-62353","ALTERNATIVE","True","11/21/2016 11:52:58 AM"
"13811","IEC-62353","ALTERNATIVE","True","11/21/2016 12:22:40 PM"
"13812","IEC-62353","ALTERNATIVE","True","11/21/2016 12:24:34 PM"
"13813","IEC-62353","ALTERNATIVE","True","11/21/2016 1:12:05 PM"
"13814","IEC-62353","ALTERNATIVE","True","11/21/2016 1:17:05 PM"
"13815","IEC-62353","ALTERNATIVE","True","11/21/2016 3:25:23 PM"
"13816","IEC-62353","ALTERNATIVE","True","11/21/2016 5:15:40 PM"
"13817","IEC-62353","ALTERNATIVE","True","11/21/2016 5:23:12 PM"
"13818","IEC-62353","ALTERNATIVE","True","11/21/2016 5:29:38 PM"
"13819","IEC-62353","ALTERNATIVE","True","11/22/2016 10:41:26 AM"
"13820","IEC-62353","ALTERNATIVE","True","11/22/2016 10:43:16 AM"
"13821","IEC-62353","ALTERNATIVE","True","11/22/2016 10:45:28 AM"
"13822","IEC-62353","ALTERNATIVE","True","11/22/2016 10:47:41 AM"
"13823","IEC-62353","ALTERNATIVE","True","11/22/2016 10:49:38 AM"
"13824","IEC-62353","ALTERNATIVE","True","11/22/2016 10:56:53 AM"
"13825","IEC-62353","ALTERNATIVE","True","11/22/2016 11:11:41 AM"
"13826","IEC-62353","ALTERNATIVE","True","11/22/2016 11:14:13 AM"
"13827","IEC-62353","ALTERNATIVE","True","11/22/2016 11:23:42 AM"
"13828","IEC-62353","ALTERNATIVE","True","11/22/2016 11:39:22 AM"
